"Date","Time","Test Total Time",,
02/18/15,15:25:16,(hh:mm:ss): 5:01:56,,
,,,,
"Rated Capacity","Tested Capacity",,,
1.00 Ah,2.52 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.92,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 2 cell .5amp discharge",0,8.14,0.498,20.06
"Artoo pack 2 cell .5amp discharge",1,8.14,0.498,21.23
"Artoo pack 2 cell .5amp discharge",2,8.11,0.498,21.49
"Artoo pack 2 cell .5amp discharge",3,8.08,0.498,21.34
"Artoo pack 2 cell .5amp discharge",4,8.07,0.498,21.32
"Artoo pack 2 cell .5amp discharge",5,8.06,0.498,21.31
"Artoo pack 2 cell .5amp discharge",6,8.06,0.498,21.29
"Artoo pack 2 cell .5amp discharge",7,8.06,0.498,21.28
"Artoo pack 2 cell .5amp discharge",8,8.06,0.498,21.27
"Artoo pack 2 cell .5amp discharge",9,8.05,0.498,21.27
"Artoo pack 2 cell .5amp discharge",10,8.05,0.498,21.27
"Artoo pack 2 cell .5amp discharge",11,8.05,0.498,21.27
"Artoo pack 2 cell .5amp discharge",12,8.05,0.498,21.26
"Artoo pack 2 cell .5amp discharge",13,8.05,0.498,21.25
"Artoo pack 2 cell .5amp discharge",14,8.05,0.498,21.24
"Artoo pack 2 cell .5amp discharge",15,8.05,0.498,21.24
"Artoo pack 2 cell .5amp discharge",16,8.05,0.499,21.24
"Artoo pack 2 cell .5amp discharge",17,8.05,0.499,21.24
"Artoo pack 2 cell .5amp discharge",18,8.05,0.499,21.23
"Artoo pack 2 cell .5amp discharge",19,8.05,0.501,21.23
"Artoo pack 2 cell .5amp discharge",20,8.05,0.499,21.23
"Artoo pack 2 cell .5amp discharge",21,8.05,0.501,21.23
"Artoo pack 2 cell .5amp discharge",22,8.05,0.501,21.22
"Artoo pack 2 cell .5amp discharge",23,8.05,0.499,21.22
"Artoo pack 2 cell .5amp discharge",24,8.04,0.499,21.22
"Artoo pack 2 cell .5amp discharge",25,8.04,0.501,21.22
"Artoo pack 2 cell .5amp discharge",26,8.04,0.501,21.22
"Artoo pack 2 cell .5amp discharge",27,8.04,0.499,21.22
"Artoo pack 2 cell .5amp discharge",28,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",29,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",30,8.04,0.499,21.20
"Artoo pack 2 cell .5amp discharge",31,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",32,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",33,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",34,8.04,0.498,21.20
"Artoo pack 2 cell .5amp discharge",35,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",36,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",37,8.04,0.498,21.21
"Artoo pack 2 cell .5amp discharge",38,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",39,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",40,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",41,8.04,0.499,21.20
"Artoo pack 2 cell .5amp discharge",42,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",43,8.04,0.499,21.21
"Artoo pack 2 cell .5amp discharge",44,8.04,0.499,21.21
"Artoo pack 2 cell .5amp discharge",45,8.04,0.501,21.21
"Artoo pack 2 cell .5amp discharge",46,8.04,0.501,21.20
"Artoo pack 2 cell .5amp discharge",47,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",48,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",49,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",50,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",51,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",52,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",53,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",54,8.03,0.498,21.20
"Artoo pack 2 cell .5amp discharge",55,8.03,0.501,21.19
"Artoo pack 2 cell .5amp discharge",56,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",57,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",58,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",59,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",60,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",61,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",62,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",63,8.03,0.498,21.20
"Artoo pack 2 cell .5amp discharge",64,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",65,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",66,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",67,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",68,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",69,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",70,8.03,0.498,21.20
"Artoo pack 2 cell .5amp discharge",71,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",72,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",73,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",74,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",75,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",76,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",77,8.03,0.499,21.21
"Artoo pack 2 cell .5amp discharge",78,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",79,8.03,0.501,21.20
"Artoo pack 2 cell .5amp discharge",80,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",81,8.03,0.499,21.20
"Artoo pack 2 cell .5amp discharge",82,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",83,8.03,0.499,21.21
"Artoo pack 2 cell .5amp discharge",84,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",85,8.02,0.501,21.21
"Artoo pack 2 cell .5amp discharge",86,8.02,0.499,21.21
"Artoo pack 2 cell .5amp discharge",87,8.03,0.499,21.21
"Artoo pack 2 cell .5amp discharge",88,8.03,0.501,21.21
"Artoo pack 2 cell .5amp discharge",89,8.02,0.501,21.21
"Artoo pack 2 cell .5amp discharge",90,8.02,0.498,21.21
"Artoo pack 2 cell .5amp discharge",91,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",92,8.02,0.499,21.21
"Artoo pack 2 cell .5amp discharge",93,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",94,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",95,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",96,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",97,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",98,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",99,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",100,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",101,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",102,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",103,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",104,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",105,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",106,8.02,0.498,21.22
"Artoo pack 2 cell .5amp discharge",107,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",108,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",109,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",110,8.02,0.498,21.23
"Artoo pack 2 cell .5amp discharge",111,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",112,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",113,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",114,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",115,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",116,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",117,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",118,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",119,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",120,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",121,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",122,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",123,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",124,8.02,0.501,21.23
