Test,Time,Voltage,Current,Temp (C)
2S1P 122mA discharge,0,8.13,0.11,0
2S1P 122mA discharge,1,8.13,0.11,0
2S1P 122mA discharge,2,8.13,0.11,0
2S1P 122mA discharge,3,8.12,0.11,0
2S1P 122mA discharge,4,8.12,0.11,0
2S1P 122mA discharge,5,8.11,0.11,0
2S1P 122mA discharge,6,8.11,0.111,0
2S1P 122mA discharge,7,8.11,0.117,0
2S1P 122mA discharge,8,8.11,0.12,0
2S1P 122mA discharge,9,8.11,0.12,0
2S1P 122mA discharge,10,8.11,0.12,0
2S1P 122mA discharge,11,8.11,0.122,0
2S1P 122mA discharge,12,8.11,0.122,0
2S1P 122mA discharge,13,8.11,0.122,0
2S1P 122mA discharge,14,8.11,0.122,0
2S1P 122mA discharge,15,8.11,0.122,0
2S1P 122mA discharge,16,8.11,0.122,0
2S1P 122mA discharge,17,8.11,0.122,0
2S1P 122mA discharge,18,8.11,0.124,0
2S1P 122mA discharge,19,8.11,0.12,0
2S1P 122mA discharge,20,8.11,0.122,0
2S1P 122mA discharge,21,8.11,0.122,0
2S1P 122mA discharge,22,8.11,0.122,0
2S1P 122mA discharge,23,8.11,0.12,0
2S1P 122mA discharge,24,8.11,0.122,0
2S1P 122mA discharge,25,8.11,0.122,0
2S1P 122mA discharge,26,8.11,0.122,0
2S1P 122mA discharge,27,8.11,0.122,0
2S1P 122mA discharge,28,8.11,0.122,0
2S1P 122mA discharge,29,8.11,0.124,0
2S1P 122mA discharge,30,8.11,0.122,0
2S1P 122mA discharge,31,8.11,0.122,0
2S1P 122mA discharge,32,8.11,0.122,0
2S1P 122mA discharge,33,8.11,0.124,0
2S1P 122mA discharge,34,8.11,0.12,0
2S1P 122mA discharge,35,8.11,0.122,0
2S1P 122mA discharge,36,8.11,0.122,0
2S1P 122mA discharge,37,8.11,0.122,0
2S1P 122mA discharge,38,8.11,0.12,0
2S1P 122mA discharge,39,8.11,0.12,0
2S1P 122mA discharge,40,8.11,0.122,0
2S1P 122mA discharge,41,8.11,0.122,0
2S1P 122mA discharge,42,8.11,0.122,0
2S1P 122mA discharge,43,8.11,0.124,0
2S1P 122mA discharge,44,8.11,0.122,0
2S1P 122mA discharge,45,8.11,0.122,0
2S1P 122mA discharge,46,8.11,0.122,0
2S1P 122mA discharge,47,8.11,0.124,0
2S1P 122mA discharge,48,8.11,0.122,0
2S1P 122mA discharge,49,8.11,0.12,0
2S1P 122mA discharge,50,8.11,0.122,0
2S1P 122mA discharge,51,8.11,0.122,0
2S1P 122mA discharge,52,8.1,0.122,0
2S1P 122mA discharge,53,8.1,0.124,0
2S1P 122mA discharge,54,8.1,0.122,0
2S1P 122mA discharge,55,8.1,0.12,0
2S1P 122mA discharge,56,8.11,0.122,0
2S1P 122mA discharge,57,8.1,0.122,0
2S1P 122mA discharge,58,8.1,0.124,0
2S1P 122mA discharge,59,8.1,0.122,0
2S1P 122mA discharge,60,8.1,0.12,0
2S1P 122mA discharge,61,8.1,0.124,0
2S1P 122mA discharge,62,8.1,0.122,0
2S1P 122mA discharge,63,8.1,0.122,0
2S1P 122mA discharge,64,8.1,0.122,0
2S1P 122mA discharge,65,8.1,0.12,0
2S1P 122mA discharge,66,8.1,0.122,0
2S1P 122mA discharge,67,8.1,0.122,0
2S1P 122mA discharge,68,8.1,0.122,0
2S1P 122mA discharge,69,8.1,0.122,0
2S1P 122mA discharge,70,8.1,0.12,0
2S1P 122mA discharge,71,8.1,0.122,0
2S1P 122mA discharge,72,8.1,0.124,0
2S1P 122mA discharge,73,8.1,0.122,0
2S1P 122mA discharge,74,8.1,0.122,0
2S1P 122mA discharge,75,8.1,0.12,0
2S1P 122mA discharge,76,8.1,0.124,0
2S1P 122mA discharge,77,8.1,0.122,0
2S1P 122mA discharge,78,8.1,0.122,0
2S1P 122mA discharge,79,8.1,0.122,0
2S1P 122mA discharge,80,8.1,0.12,0
2S1P 122mA discharge,81,8.1,0.122,0
2S1P 122mA discharge,82,8.1,0.124,0
2S1P 122mA discharge,83,8.1,0.122,0
2S1P 122mA discharge,84,8.1,0.122,0
2S1P 122mA discharge,85,8.1,0.12,0
2S1P 122mA discharge,86,8.1,0.124,0
2S1P 122mA discharge,87,8.1,0.124,0
2S1P 122mA discharge,88,8.1,0.122,0
2S1P 122mA discharge,89,8.1,0.122,0
2S1P 122mA discharge,90,8.1,0.12,0
2S1P 122mA discharge,91,8.1,0.122,0
2S1P 122mA discharge,92,8.1,0.122,0
2S1P 122mA discharge,93,8.1,0.122,0
2S1P 122mA discharge,94,8.1,0.122,0
2S1P 122mA discharge,95,8.1,0.12,0
2S1P 122mA discharge,96,8.1,0.122,0
2S1P 122mA discharge,97,8.1,0.122,0
2S1P 122mA discharge,98,8.1,0.122,0
2S1P 122mA discharge,99,8.1,0.122,0
2S1P 122mA discharge,100,8.1,0.12,0
2S1P 122mA discharge,101,8.1,0.122,0
2S1P 122mA discharge,102,8.1,0.124,0
2S1P 122mA discharge,103,8.1,0.122,0
2S1P 122mA discharge,104,8.1,0.122,0
2S1P 122mA discharge,105,8.1,0.122,0
2S1P 122mA discharge,106,8.1,0.122,0
2S1P 122mA discharge,107,8.1,0.122,0
2S1P 122mA discharge,108,8.1,0.122,0
2S1P 122mA discharge,109,8.1,0.122,0
2S1P 122mA discharge,110,8.1,0.12,0
2S1P 122mA discharge,111,8.1,0.122,0
2S1P 122mA discharge,112,8.1,0.122,0
2S1P 122mA discharge,113,8.1,0.122,0
2S1P 122mA discharge,114,8.1,0.122,0
2S1P 122mA discharge,115,8.1,0.12,0
2S1P 122mA discharge,116,8.1,0.124,0
2S1P 122mA discharge,117,8.1,0.122,0
2S1P 122mA discharge,118,8.1,0.122,0
2S1P 122mA discharge,119,8.1,0.122,0
2S1P 122mA discharge,120,8.1,0.124,0
2S1P 122mA discharge,121,8.1,0.12,0
2S1P 122mA discharge,122,8.1,0.122,0
2S1P 122mA discharge,123,8.1,0.122,0
2S1P 122mA discharge,124,8.1,0.122,0
2S1P 122mA discharge,125,8.1,0.12,0
2S1P 122mA discharge,126,8.1,0.122,0
2S1P 122mA discharge,127,8.1,0.122,0
2S1P 122mA discharge,128,8.1,0.122,0
2S1P 122mA discharge,129,8.1,0.122,0
2S1P 122mA discharge,130,8.1,0.124,0
2S1P 122mA discharge,131,8.1,0.124,0
2S1P 122mA discharge,132,8.1,0.122,0
2S1P 122mA discharge,133,8.1,0.122,0
2S1P 122mA discharge,134,8.1,0.122,0
2S1P 122mA discharge,135,8.1,0.122,0
2S1P 122mA discharge,136,8.1,0.12,0
2S1P 122mA discharge,137,8.1,0.122,0
2S1P 122mA discharge,138,8.1,0.122,0
2S1P 122mA discharge,139,8.1,0.122,0
2S1P 122mA discharge,140,8.1,0.122,0
2S1P 122mA discharge,141,8.1,0.122,0
2S1P 122mA discharge,142,8.1,0.12,0
2S1P 122mA discharge,143,8.1,0.122,0
2S1P 122mA discharge,144,8.1,0.122,0
2S1P 122mA discharge,145,8.1,0.124,0
2S1P 122mA discharge,146,8.1,0.122,0
2S1P 122mA discharge,147,8.1,0.12,0
2S1P 122mA discharge,148,8.1,0.122,0
2S1P 122mA discharge,149,8.1,0.122,0
2S1P 122mA discharge,150,8.1,0.122,0
2S1P 122mA discharge,151,8.1,0.122,0
2S1P 122mA discharge,152,8.1,0.12,0
2S1P 122mA discharge,153,8.1,0.122,0
2S1P 122mA discharge,154,8.1,0.122,0
2S1P 122mA discharge,155,8.1,0.124,0
2S1P 122mA discharge,156,8.1,0.122,0
2S1P 122mA discharge,157,8.1,0.12,0
2S1P 122mA discharge,158,8.1,0.122,0
2S1P 122mA discharge,159,8.1,0.124,0
2S1P 122mA discharge,160,8.1,0.122,0
2S1P 122mA discharge,161,8.1,0.122,0
2S1P 122mA discharge,162,8.1,0.12,0
2S1P 122mA discharge,163,8.1,0.122,0
2S1P 122mA discharge,164,8.1,0.122,0
2S1P 122mA discharge,165,8.1,0.122,0
2S1P 122mA discharge,166,8.1,0.122,0
2S1P 122mA discharge,167,8.1,0.12,0
2S1P 122mA discharge,168,8.1,0.122,0
2S1P 122mA discharge,169,8.1,0.122,0
2S1P 122mA discharge,170,8.1,0.124,0
2S1P 122mA discharge,171,8.1,0.122,0
