"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",0,8.09,0.498,0.00
"Artoo pack 4 cell .5amp discharge",1,8.08,0.498,0.00
"Artoo pack 4 cell .5amp discharge",2,8.04,0.498,0.00
"Artoo pack 4 cell .5amp discharge",3,8.00,0.498,0.00
"Artoo pack 4 cell .5amp discharge",4,7.98,0.498,0.00
"Artoo pack 4 cell .5amp discharge",5,7.98,0.498,0.00
"Artoo pack 4 cell .5amp discharge",6,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",7,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",8,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",9,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",10,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",11,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",12,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",13,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",14,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",15,7.97,0.498,0.00
"Artoo pack 4 cell .5amp discharge",16,7.97,0.499,0.00
"Artoo pack 4 cell .5amp discharge",17,7.97,0.501,0.00
"Artoo pack 4 cell .5amp discharge",18,7.97,0.501,0.00
"Artoo pack 4 cell .5amp discharge",19,7.97,0.501,0.00
"Artoo pack 4 cell .5amp discharge",20,7.97,0.501,0.00
"Artoo pack 4 cell .5amp discharge",21,7.96,0.498,0.00
"Artoo pack 4 cell .5amp discharge",22,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",23,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",24,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",25,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",26,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",27,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",28,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",29,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",30,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",31,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",32,7.96,0.498,0.00
"Artoo pack 4 cell .5amp discharge",33,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",34,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",35,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",36,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",37,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",38,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",39,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",40,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",41,7.96,0.498,0.00
"Artoo pack 4 cell .5amp discharge",42,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",43,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",44,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",45,7.96,0.498,0.00
"Artoo pack 4 cell .5amp discharge",46,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",47,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",48,7.96,0.498,0.00
"Artoo pack 4 cell .5amp discharge",49,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",50,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",51,7.96,0.499,0.00
"Artoo pack 4 cell .5amp discharge",52,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",53,7.96,0.501,0.00
"Artoo pack 4 cell .5amp discharge",54,7.96,0.501,0.00
